fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,AGS SO2 [Dióxido de Azufre (SO2) (RAW)],"CO-B4 [Monóxido de Carbono (CO), RAW 1 (RAW)]","CO-B4 [Monóxido de Carbono (CO), RAW 2 (RAW)]",CWT-UR [Índice de Radiación UV (Adimensional)],CWT-UWD-SDTHAPSIR [Agua caída (Lluvia) (mm)],CWT-UWD-SDTHAPSIR [Dirección del Viento (Grados)],CWT-UWD-SDTHAPSIR [Grados celcius (°C)],CWT-UWD-SDTHAPSIR [Humedad (%)],CWT-UWD-SDTHAPSIR [Presión atmosférica (kPa)],CWT-UWD-SDTHAPSIR [Radiación Solar (W/m2)],CWT-UWD-SDTHAPSIR [Velocidad del viento (m/s)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],MH-Z19B [Dióxido de Carbono (CO2) Custom (ppm)],MH-Z19B [Dióxido de Carbono (CO2) Interno (ppm)],MH-Z19B [Dióxido de Carbono (CO2) RAW (RAW)],"NO-B4 [Óxido Nítrico (NO), RAW 1 (RAW)]","NO-B4 [Óxido Nítrico (NO), RAW 2 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 1 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 2 (RAW)]","OX-B431 [Ozono (O3), RAW 1 (RAW)]","OX-B431 [Ozono (O3), RAW 2 (RAW)]",PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],"SO2 -B4 [Dióxido de Azufre (SO2), RAW 1 (RAW)]","SO2 -B4 [Dióxido de Azufre (SO2), RAW 2 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 1 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 2 (RAW)]",ZE40B-TVOC [Compuestos orgánicos volátiles (VOC) (ug/m2)]
2025-10-26 11:36:57,Sin sesión,,,,12,AIRE-03,,1849.498,6928.0,5819.0,15.0,3.3,0.0,22.1,29.3,92.5,1011.0,0.0,41.0,12.01,16081.13,402.0,30209.0,5478.0,5359.0,3764.0,4013.0,4159.0,3783.0,22.7,29.2,22.0,20.0,25.0,0.0,0.0,0.0,0.0,24.0
2025-10-26 11:41:58,Sin sesión,,,,12,AIRE-03,,1849.593,6935.0,5408.0,15.0,3.3,134.0,23.5,28.1,92.5,1012.0,1.3,41.25,11.97,16091.92,416.0,30193.0,5624.0,5316.0,3581.0,3949.0,3964.0,3659.0,22.8,29.0,19.0,19.0,25.0,0.0,0.0,0.0,0.0,24.0
2025-10-26 11:46:57,Sin sesión,,,,12,AIRE-03,,1850.033,7754.0,6244.0,15.0,3.3,144.0,23.0,28.7,92.5,1018.0,0.7,41.5,11.97,16073.05,383.0,30221.0,5605.0,5406.0,3711.0,4098.0,4097.0,3765.0,23.3,28.8,20.0,20.0,25.0,0.0,0.0,0.0,0.0,25.0
2025-10-26 11:51:57,Sin sesión,,,,12,AIRE-03,,1854.871,6950.0,5506.0,15.0,3.3,0.0,23.5,29.2,92.5,1027.0,0.0,41.75,11.97,16068.33,380.0,30228.0,5538.0,5343.0,3658.0,3920.0,4015.0,3656.0,23.3,28.4,22.0,22.0,25.0,0.0,0.0,0.0,0.0,28.0
2025-10-26 11:56:57,Sin sesión,,,,12,AIRE-03,,1849.905,6940.0,5539.0,15.0,3.3,90.0,23.8,27.3,92.5,1033.0,0.6,42.0,11.97,16079.11,394.0,30212.0,5505.0,5369.0,3686.0,3938.0,4081.0,3696.0,23.6,27.8,24.0,22.0,25.0,0.0,0.0,0.0,0.0,31.0
2025-10-26 12:01:57,Sin sesión,,,,12,AIRE-03,,1849.942,6753.0,5651.0,15.0,3.3,127.0,22.7,28.0,92.5,1039.0,0.8,42.25,11.97,16077.76,397.0,30214.0,5628.0,5434.0,3783.0,4004.0,4157.0,3720.0,23.7,27.0,23.0,22.0,25.0,0.0,0.0,0.0,0.0,25.0
2025-10-26 12:06:57,Sin sesión,,,,12,AIRE-03,,1849.364,7040.0,5554.0,15.0,3.3,135.0,23.3,27.1,92.5,1046.0,1.4,42.25,11.97,16078.44,399.0,30213.0,5564.0,5446.0,3707.0,4028.0,4189.0,3750.0,23.9,27.5,24.0,23.0,25.0,0.0,0.0,0.0,0.0,25.0
2025-10-26 12:11:58,Sin sesión,,,,12,AIRE-03,,1849.87,6738.0,5477.0,15.0,3.3,0.0,23.4,27.9,92.5,1047.0,0.0,42.25,11.97,16088.55,408.0,30198.0,5556.0,5440.0,3810.0,3985.0,4223.0,3708.0,23.8,27.3,27.0,25.0,25.0,0.0,0.0,0.0,0.0,27.0
2025-10-26 12:17:00,Sin sesión,,,,12,AIRE-03,,1849.865,7212.0,5696.0,15.0,3.3,143.0,23.6,27.2,92.5,1048.0,1.2,42.5,12.01,16085.18,408.0,30203.0,5534.0,5362.0,3610.0,3930.0,4083.0,3672.0,24.3,27.9,25.0,23.0,25.0,0.0,0.0,0.0,0.0,19.0
2025-10-26 12:21:57,Sin sesión,,,,12,AIRE-03,,1849.656,7112.0,5942.0,15.0,3.3,0.0,23.0,27.2,92.5,1054.0,0.0,42.5,11.97,16084.5,405.0,30204.0,5472.0,5412.0,3881.0,4022.0,4238.0,3692.0,24.1,26.6,23.0,23.0,25.0,0.0,0.0,0.0,0.0,28.0
