fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,AGS SO2 [Dióxido de Azufre (SO2) (RAW)],"CO-B4 [Monóxido de Carbono (CO), RAW 1 (RAW)]","CO-B4 [Monóxido de Carbono (CO), RAW 2 (RAW)]",CWT-UR [Índice de Radiación UV (Adimensional)],CWT-UWD-SDTHAPSIR [Agua caída (Lluvia) (mm)],CWT-UWD-SDTHAPSIR [Dirección del Viento (Grados)],CWT-UWD-SDTHAPSIR [Grados celcius (°C)],CWT-UWD-SDTHAPSIR [Humedad (%)],CWT-UWD-SDTHAPSIR [Presión atmosférica (kPa)],CWT-UWD-SDTHAPSIR [Radiación Solar (W/m2)],CWT-UWD-SDTHAPSIR [Velocidad del viento (m/s)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],MH-Z19B [Dióxido de Carbono (CO2) Custom (ppm)],MH-Z19B [Dióxido de Carbono (CO2) Interno (ppm)],MH-Z19B [Dióxido de Carbono (CO2) RAW (RAW)],"NO-B4 [Óxido Nítrico (NO), RAW 1 (RAW)]","NO-B4 [Óxido Nítrico (NO), RAW 2 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 1 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 2 (RAW)]","OX-B431 [Ozono (O3), RAW 1 (RAW)]","OX-B431 [Ozono (O3), RAW 2 (RAW)]",PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],"SO2 -B4 [Dióxido de Azufre (SO2), RAW 1 (RAW)]","SO2 -B4 [Dióxido de Azufre (SO2), RAW 2 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 1 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 2 (RAW)]",ZE40B-TVOC [Compuestos orgánicos volátiles (VOC) (ug/m2)]
2025-10-23 16:17:18,Sin sesión,,,,12,AIRE-04,,463.647,7323.0,5490.0,4.0,0.0,332.0,17.8,50.4,92.5,238.0,0.7,32.75,12.04,2690.78,529.0,50076.0,5122.0,4894.0,3694.0,3714.0,3991.0,3824.0,19.0,42.0,25.0,23.0,31.0,5349.0,5523.0,0.0,0.0,21.0
2025-10-23 16:22:19,Sin sesión,,,,12,AIRE-04,,463.669,7421.0,5578.0,4.0,0.0,0.0,17.6,50.8,92.5,232.0,0.0,32.5,12.04,2695.49,533.0,50069.0,5081.0,4922.0,3709.0,3706.0,4003.0,3803.0,18.9,42.3,25.0,23.0,31.0,5386.0,5557.0,0.0,0.0,21.0
2025-10-23 16:27:19,Sin sesión,,,,12,AIRE-04,,463.41,7391.0,5568.0,4.0,0.0,0.0,17.5,50.5,92.5,227.0,0.0,32.5,12.04,2697.52,535.0,50066.0,5075.0,4926.0,3772.0,3747.0,4239.0,3986.0,18.9,42.6,22.0,21.0,31.0,5351.0,5572.0,0.0,0.0,20.0
2025-10-23 16:32:19,Sin sesión,,,,12,AIRE-04,,463.354,7356.0,5559.0,4.0,0.0,0.0,17.4,51.3,92.5,220.0,0.0,32.5,12.04,2692.12,525.0,50074.0,5094.0,4906.0,3728.0,3762.0,4021.0,3839.0,18.8,42.7,19.0,19.0,31.0,5380.0,5576.0,0.0,0.0,21.0
2025-10-23 16:37:22,Sin sesión,,,,12,AIRE-04,,462.668,7431.0,5706.0,3.0,0.0,0.0,17.5,52.3,92.5,214.0,0.0,32.25,12.01,2698.19,531.0,50065.0,5246.0,5097.0,3923.0,3887.0,4236.0,3995.0,18.7,43.2,21.0,21.0,31.0,5377.0,5576.0,0.0,0.0,21.0
2025-10-23 16:47:19,Sin sesión,,,,12,AIRE-04,,462.413,7303.0,5623.0,4.0,0.0,332.0,17.7,51.3,92.5,219.0,0.7,32.25,12.04,2696.84,529.0,50067.0,5118.0,4967.0,3719.0,3757.0,4054.0,3836.0,18.7,43.9,17.0,16.0,31.0,5374.0,5547.0,0.0,0.0,22.0
2025-10-23 16:52:19,Sin sesión,,,,12,AIRE-04,,463.827,7199.0,5510.0,4.0,0.0,270.0,17.7,51.6,92.5,232.0,0.5,32.25,12.04,2696.17,529.0,50068.0,5083.0,4885.0,3686.0,3691.0,4025.0,3819.0,18.8,43.6,19.0,19.0,31.0,5382.0,5572.0,0.0,0.0,20.0
2025-10-23 16:57:19,Sin sesión,,,,12,AIRE-04,,462.985,7290.0,5625.0,4.0,0.0,327.0,17.4,51.9,92.5,223.0,0.6,32.25,12.04,2695.49,526.0,50069.0,5055.0,4864.0,3697.0,3719.0,3992.0,3796.0,18.7,43.2,19.0,18.0,31.0,5409.0,5571.0,0.0,0.0,20.0
2025-10-23 17:02:19,Sin sesión,,,,12,AIRE-04,,463.624,7286.0,5697.0,4.0,0.0,328.0,17.6,51.5,92.5,219.0,0.5,32.0,12.01,2698.86,529.0,50064.0,5270.0,5094.0,3895.0,3917.0,4237.0,4008.0,18.6,43.2,22.0,22.0,31.0,5333.0,5540.0,0.0,0.0,20.0
2025-10-23 17:07:19,Sin sesión,,,,12,AIRE-04,,464.507,6920.0,5518.0,4.0,0.0,0.0,17.6,51.7,92.5,221.0,0.0,32.0,12.04,2701.56,532.0,50060.0,5113.0,4968.0,3729.0,3762.0,4016.0,3843.0,18.7,43.8,20.0,19.0,31.0,5326.0,5567.0,0.0,0.0,20.0
