fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,AGS SO2 [Dióxido de Azufre (SO2) (RAW)],"CO-B4 [Monóxido de Carbono (CO), RAW 1 (RAW)]","CO-B4 [Monóxido de Carbono (CO), RAW 2 (RAW)]",CWT-UR [Índice de Radiación UV (Adimensional)],CWT-UWD-SDTHAPSIR [Agua caída (Lluvia) (mm)],CWT-UWD-SDTHAPSIR [Dirección del Viento (Grados)],CWT-UWD-SDTHAPSIR [Grados celcius (°C)],CWT-UWD-SDTHAPSIR [Humedad (%)],CWT-UWD-SDTHAPSIR [Presión atmosférica (kPa)],CWT-UWD-SDTHAPSIR [Radiación Solar (W/m2)],CWT-UWD-SDTHAPSIR [Velocidad del viento (m/s)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],MH-Z19B [Dióxido de Carbono (CO2) Custom (ppm)],MH-Z19B [Dióxido de Carbono (CO2) Interno (ppm)],MH-Z19B [Dióxido de Carbono (CO2) RAW (RAW)],"NO-B4 [Óxido Nítrico (NO), RAW 1 (RAW)]","NO-B4 [Óxido Nítrico (NO), RAW 2 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 1 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 2 (RAW)]","OX-B431 [Ozono (O3), RAW 1 (RAW)]","OX-B431 [Ozono (O3), RAW 2 (RAW)]",PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],"SO2 -B4 [Dióxido de Azufre (SO2), RAW 1 (RAW)]","SO2 -B4 [Dióxido de Azufre (SO2), RAW 2 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 1 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 2 (RAW)]",ZE40B-TVOC [Compuestos orgánicos volátiles (VOC) (ug/m2)]
2025-10-24 00:37:21,Sin sesión,,,,12,AIRE-06,,411.121,6616.0,5452.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,25.25,12.04,2954.98,525.0,49684.0,4898.0,4817.0,3901.0,3899.0,3842.0,3822.0,13.6,55.0,7.0,6.0,30.0,5110.0,5252.0,0.0,0.0,22.0
2025-10-24 00:42:21,Sin sesión,,,,12,AIRE-06,,410.874,6611.0,5464.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,25.25,12.04,2952.96,523.0,49687.0,4873.0,4761.0,3838.0,3851.0,3720.0,3794.0,13.6,54.8,5.0,5.0,30.0,5105.0,5244.0,0.0,0.0,23.0
2025-10-24 00:47:21,Sin sesión,,,,12,AIRE-06,,409.974,6814.0,5686.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,25.25,11.97,2958.35,527.0,49679.0,5103.0,4990.0,4075.0,4073.0,3933.0,3983.0,13.7,55.2,5.0,4.0,31.0,5154.0,5212.0,0.0,0.0,23.0
2025-10-24 00:52:21,Sin sesión,,,,12,AIRE-06,,410.436,6630.0,5465.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,25.25,12.04,2968.46,534.0,49664.0,4822.0,4789.0,3860.0,3832.0,3732.0,3758.0,13.7,55.1,6.0,5.0,31.0,5143.0,5286.0,0.0,0.0,23.0
2025-10-24 00:57:21,Sin sesión,,,,12,AIRE-06,,410.052,6644.0,5486.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,25.25,12.01,2965.77,533.0,49668.0,4842.0,4797.0,3898.0,3905.0,3800.0,3829.0,13.7,55.8,6.0,6.0,31.0,5177.0,5305.0,0.0,0.0,23.0
2025-10-24 01:02:21,Sin sesión,,,,12,AIRE-06,,409.142,6667.0,5445.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,25.25,12.01,2975.2,541.0,49654.0,4793.0,4730.0,3842.0,3841.0,3736.0,3779.0,13.6,56.4,4.0,4.0,31.0,5099.0,5250.0,0.0,0.0,23.0
2025-10-24 01:07:21,Sin sesión,,,,12,AIRE-06,,409.533,7018.0,5486.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,25.25,12.01,2967.79,535.0,49665.0,4851.0,4824.0,3935.0,3898.0,3801.0,3827.0,13.6,56.1,7.0,6.0,31.0,5166.0,5262.0,0.0,0.0,23.0
2025-10-24 01:12:21,Sin sesión,,,,12,AIRE-06,,409.518,7360.0,5701.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,25.25,12.01,2976.55,542.0,49652.0,5162.0,5059.0,4116.0,4130.0,4119.0,4186.0,13.6,56.5,6.0,6.0,31.0,5166.0,5222.0,0.0,0.0,23.0
2025-10-24 01:17:21,Sin sesión,,,,12,AIRE-06,,409.783,7004.0,5440.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,25.25,12.04,2973.18,539.0,49657.0,4842.0,4778.0,3844.0,3848.0,3790.0,3779.0,13.6,55.9,5.0,5.0,30.0,5180.0,5279.0,0.0,0.0,22.0
2025-10-24 01:22:21,Sin sesión,,,,12,AIRE-06,,409.441,7212.0,5518.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,25.25,12.01,2969.81,536.0,49662.0,4866.0,4850.0,3905.0,3898.0,3824.0,3805.0,13.6,56.0,6.0,6.0,30.0,5153.0,5249.0,0.0,0.0,22.0
