fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,AGS SO2 [Dióxido de Azufre (SO2) (RAW)],"CO-B4 [Monóxido de Carbono (CO), RAW 1 (RAW)]","CO-B4 [Monóxido de Carbono (CO), RAW 2 (RAW)]",CWT-UR [Índice de Radiación UV (Adimensional)],CWT-UWD-SDTHAPSIR [Agua caída (Lluvia) (mm)],CWT-UWD-SDTHAPSIR [Dirección del Viento (Grados)],CWT-UWD-SDTHAPSIR [Grados celcius (°C)],CWT-UWD-SDTHAPSIR [Humedad (%)],CWT-UWD-SDTHAPSIR [Presión atmosférica (kPa)],CWT-UWD-SDTHAPSIR [Radiación Solar (W/m2)],CWT-UWD-SDTHAPSIR [Velocidad del viento (m/s)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],MH-Z19B [Dióxido de Carbono (CO2) Custom (ppm)],MH-Z19B [Dióxido de Carbono (CO2) Interno (ppm)],MH-Z19B [Dióxido de Carbono (CO2) RAW (RAW)],"NO-B4 [Óxido Nítrico (NO), RAW 1 (RAW)]","NO-B4 [Óxido Nítrico (NO), RAW 2 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 1 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 2 (RAW)]","OX-B431 [Ozono (O3), RAW 1 (RAW)]","OX-B431 [Ozono (O3), RAW 2 (RAW)]",PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],"SO2 -B4 [Dióxido de Azufre (SO2), RAW 1 (RAW)]","SO2 -B4 [Dióxido de Azufre (SO2), RAW 2 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 1 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 2 (RAW)]",ZE40B-TVOC [Compuestos orgánicos volátiles (VOC) (ug/m2)]
2025-10-27 20:52:18,Sin sesión,,,,12,AIRE-06,,420.156,6369.0,5344.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,32.0,12.04,2775.7,465.0,49950.0,4984.0,4943.0,3871.0,3860.0,3764.0,3738.0,18.6,44.5,0.0,0.0,30.0,5216.0,5254.0,0.0,0.0,23.0
2025-10-27 20:57:18,Sin sesión,,,,12,AIRE-06,,420.5,6373.0,5336.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,32.0,12.04,2786.48,473.0,49934.0,4892.0,4845.0,3887.0,3806.0,3853.0,3752.0,18.5,44.9,2.0,2.0,30.0,5220.0,5279.0,0.0,0.0,23.0
2025-10-27 21:02:18,Sin sesión,,,,12,AIRE-06,,419.749,6627.0,5575.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,31.75,12.01,2783.11,470.0,49939.0,5161.0,5114.0,4151.0,4100.0,4159.0,4064.0,18.4,44.9,2.0,2.0,30.0,5179.0,5195.0,0.0,0.0,23.0
2025-10-27 21:07:18,Sin sesión,,,,12,AIRE-06,,419.193,6387.0,5301.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,31.5,12.04,2792.55,476.0,49925.0,4924.0,4842.0,3820.0,3815.0,3749.0,3740.0,18.4,45.0,1.0,1.0,30.0,5217.0,5298.0,0.0,0.0,23.0
2025-10-27 21:12:18,Sin sesión,,,,12,AIRE-06,,418.905,6423.0,5367.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,31.5,12.04,2791.2,475.0,49927.0,4937.0,4897.0,3905.0,3868.0,3868.0,3788.0,18.3,45.1,3.0,3.0,30.0,5182.0,5181.0,0.0,0.0,23.0
2025-10-27 21:17:18,Sin sesión,,,,12,AIRE-06,,418.333,6608.0,5548.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,31.25,12.04,2795.25,476.0,49921.0,5109.0,5043.0,4013.0,3990.0,3975.0,3926.0,18.2,45.1,3.0,2.0,31.0,5160.0,5240.0,0.0,0.0,23.0
2025-10-27 21:22:18,Sin sesión,,,,12,AIRE-06,,417.654,6479.0,5419.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,31.25,12.04,2789.18,468.0,49930.0,4973.0,4900.0,3891.0,3885.0,3831.0,3796.0,18.1,45.2,2.0,2.0,31.0,5180.0,5243.0,0.0,0.0,23.0
2025-10-27 21:27:18,Sin sesión,,,,12,AIRE-06,,417.922,6803.0,5405.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,31.25,12.04,2795.92,473.0,49920.0,4953.0,4909.0,3926.0,3877.0,3792.0,3780.0,18.1,45.4,2.0,1.0,31.0,5223.0,5265.0,0.0,0.0,23.0
2025-10-27 21:32:18,Sin sesión,,,,12,AIRE-06,,417.192,6854.0,5603.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,31.0,12.01,2795.25,472.0,49921.0,5150.0,5082.0,4060.0,4060.0,4039.0,3993.0,18.0,45.2,1.0,1.0,31.0,5152.0,5209.0,0.0,0.0,22.0
2025-10-27 21:37:18,Sin sesión,,,,12,AIRE-06,,417.44,6475.0,5344.0,0.0,0.0,46.0,21.9,46.4,92.5,824.0,0.7,31.0,12.04,2797.27,472.0,49918.0,4944.0,4870.0,3794.0,3821.0,3737.0,3729.0,18.0,44.8,2.0,2.0,31.0,5167.0,5272.0,0.0,0.0,22.0
