fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,AGS SO2 [Dióxido de Azufre (SO2) (RAW)],"CO-B4 [Monóxido de Carbono (CO), RAW 1 (RAW)]","CO-B4 [Monóxido de Carbono (CO), RAW 2 (RAW)]",CWT-UR [Índice de Radiación UV (Adimensional)],CWT-UWD-SDTHAPSIR [Agua caída (Lluvia) (mm)],CWT-UWD-SDTHAPSIR [Dirección del Viento (Grados)],CWT-UWD-SDTHAPSIR [Grados celcius (°C)],CWT-UWD-SDTHAPSIR [Humedad (%)],CWT-UWD-SDTHAPSIR [Presión atmosférica (kPa)],CWT-UWD-SDTHAPSIR [Radiación Solar (W/m2)],CWT-UWD-SDTHAPSIR [Velocidad del viento (m/s)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],MH-Z19B [Dióxido de Carbono (CO2) Custom (ppm)],MH-Z19B [Dióxido de Carbono (CO2) Interno (ppm)],MH-Z19B [Dióxido de Carbono (CO2) RAW (RAW)],"NO-B4 [Óxido Nítrico (NO), RAW 1 (RAW)]","NO-B4 [Óxido Nítrico (NO), RAW 2 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 1 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 2 (RAW)]","OX-B431 [Ozono (O3), RAW 1 (RAW)]","OX-B431 [Ozono (O3), RAW 2 (RAW)]",PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],"SO2 -B4 [Dióxido de Azufre (SO2), RAW 1 (RAW)]","SO2 -B4 [Dióxido de Azufre (SO2), RAW 2 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 1 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 2 (RAW)]",ZE40B-TVOC [Compuestos orgánicos volátiles (VOC) (ug/m2)]
2025-10-27 04:22:21,Sin sesión,,,,12,AIRE-04,,438.042,6387.0,5661.0,0.0,0.0,314.0,12.6,72.6,92.2,0.0,0.8,25.5,12.08,2832.32,561.0,49866.0,4858.0,4792.0,3653.0,3722.0,3852.0,3833.0,14.4,57.1,0.0,0.0,31.0,5520.0,5546.0,0.0,0.0,19.0
2025-10-27 04:27:20,Sin sesión,,,,12,AIRE-04,,439.518,6391.0,5660.0,0.0,0.0,338.0,12.4,74.4,92.2,0.0,0.8,25.5,12.08,2826.25,551.0,49875.0,4867.0,4885.0,3676.0,3772.0,3856.0,3858.0,14.3,56.7,0.0,0.0,31.0,5528.0,5524.0,0.0,0.0,20.0
2025-10-27 04:32:20,Sin sesión,,,,12,AIRE-04,,439.381,6298.0,5578.0,0.0,0.0,314.0,12.5,73.4,92.2,0.0,0.9,25.5,12.08,2822.21,543.0,49881.0,4924.0,4813.0,3614.0,3726.0,3778.0,3807.0,14.3,56.5,0.0,0.0,31.0,5497.0,5538.0,0.0,0.0,20.0
2025-10-27 04:37:20,Sin sesión,,,,12,AIRE-04,,440.45,6329.0,5603.0,0.0,0.0,324.0,12.6,72.6,92.2,0.0,0.6,25.25,12.08,2824.9,546.0,49877.0,4770.0,4836.0,3691.0,3770.0,3895.0,3859.0,14.2,56.4,0.0,0.0,31.0,5501.0,5501.0,0.0,0.0,20.0
2025-10-27 04:42:20,Sin sesión,,,,12,AIRE-04,,438.013,6391.0,5547.0,0.0,0.0,330.0,12.9,71.3,92.1,0.0,0.9,25.5,12.08,2824.23,538.0,49878.0,4831.0,4796.0,3715.0,3771.0,3951.0,3894.0,14.3,56.6,0.0,0.0,31.0,5446.0,5495.0,0.0,0.0,20.0
2025-10-27 04:47:20,Sin sesión,,,,12,AIRE-04,,437.517,6639.0,5807.0,0.0,0.0,320.0,12.9,71.3,92.2,0.0,0.8,25.5,12.04,2832.32,544.0,49866.0,5102.0,5094.0,3910.0,3990.0,4264.0,4159.0,14.2,56.7,0.0,0.0,31.0,5497.0,5519.0,0.0,0.0,18.0
2025-10-27 04:52:21,Sin sesión,,,,12,AIRE-04,,440.225,6415.0,5666.0,0.0,0.0,312.0,12.9,71.3,92.1,0.0,0.8,25.5,12.08,2830.97,543.0,49868.0,4914.0,4829.0,3692.0,3765.0,3972.0,3884.0,14.3,56.9,1.0,1.0,31.0,5486.0,5524.0,0.0,0.0,19.0
2025-10-27 04:57:20,Sin sesión,,,,12,AIRE-04,,440.128,6500.0,5742.0,0.0,0.0,0.0,13.0,70.8,92.1,0.0,0.9,25.5,12.04,2824.9,537.0,49877.0,5011.0,4954.0,3804.0,3875.0,4081.0,3996.0,14.3,57.0,0.0,0.0,31.0,5468.0,5539.0,0.0,0.0,19.0
2025-10-27 05:02:20,Sin sesión,,,,12,AIRE-04,,439.253,6384.0,5684.0,0.0,0.0,293.0,13.1,69.9,92.1,0.0,1.0,25.5,12.04,2827.6,540.0,49873.0,5051.0,4845.0,3737.0,3773.0,3947.0,3885.0,14.3,56.6,0.0,0.0,31.0,5464.0,5550.0,0.0,0.0,18.0
2025-10-27 05:07:20,Sin sesión,,,,12,AIRE-04,,439.093,6523.0,5785.0,0.0,0.0,0.0,13.0,70.0,92.1,0.0,0.0,25.5,12.04,2827.6,540.0,49873.0,5025.0,4979.0,3788.0,3877.0,4090.0,4001.0,14.3,56.3,0.0,0.0,31.0,5458.0,5497.0,0.0,0.0,19.0
