fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,AGS SO2 [Dióxido de Azufre (SO2) (RAW)],"CO-B4 [Monóxido de Carbono (CO), RAW 1 (RAW)]","CO-B4 [Monóxido de Carbono (CO), RAW 2 (RAW)]",CWT-UR [Índice de Radiación UV (Adimensional)],CWT-UWD-SDTHAPSIR [Agua caída (Lluvia) (mm)],CWT-UWD-SDTHAPSIR [Dirección del Viento (Grados)],CWT-UWD-SDTHAPSIR [Grados celcius (°C)],CWT-UWD-SDTHAPSIR [Humedad (%)],CWT-UWD-SDTHAPSIR [Presión atmosférica (kPa)],CWT-UWD-SDTHAPSIR [Radiación Solar (W/m2)],CWT-UWD-SDTHAPSIR [Velocidad del viento (m/s)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],MH-Z19B [Dióxido de Carbono (CO2) Custom (ppm)],MH-Z19B [Dióxido de Carbono (CO2) Interno (ppm)],MH-Z19B [Dióxido de Carbono (CO2) RAW (RAW)],"NO-B4 [Óxido Nítrico (NO), RAW 1 (RAW)]","NO-B4 [Óxido Nítrico (NO), RAW 2 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 1 (RAW)]","NO2-B43F [Dióxido de Nitrógeno (NO2), RAW 2 (RAW)]","OX-B431 [Ozono (O3), RAW 1 (RAW)]","OX-B431 [Ozono (O3), RAW 2 (RAW)]",PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],"SO2 -B4 [Dióxido de Azufre (SO2), RAW 1 (RAW)]","SO2 -B4 [Dióxido de Azufre (SO2), RAW 2 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 1 (RAW)]","Sensor Placeholder [Sensor Alphasense Placeholder, RAW 2 (RAW)]",ZE40B-TVOC [Compuestos orgánicos volátiles (VOC) (ug/m2)]
2025-10-27 12:55:18,Sin sesión,,,,12,AIRE-02,,1865.9709,7073.0,5655.0,15.0,0.0,54.0,23.8,40.7,92.2,974.0,2.1,42.5,12.16,11336.17,559.0,37249.0,5523.0,5445.0,3589.0,3796.0,3617.0,3760.0,24.8,35.6,6.0,5.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-27 13:00:18,Sin sesión,,,,12,AIRE-02,,1867.031,6216.0,5459.0,15.0,0.0,0.0,23.3,40.9,92.2,950.0,0.0,42.5,12.16,11336.85,559.0,37248.0,5292.0,5382.0,3616.0,3754.0,3654.0,3721.0,24.9,35.0,7.0,7.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-27 13:05:18,Sin sesión,,,,12,AIRE-02,,1867.078,6606.0,5810.0,15.0,0.0,90.0,23.4,41.5,92.2,905.0,0.7,42.75,12.08,11317.98,541.0,37276.0,5269.0,5358.0,3606.0,3734.0,3650.0,3700.0,24.9,34.7,6.0,6.0,31.0,0.0,0.0,0.0,0.0,21.0
2025-10-27 13:10:18,Sin sesión,,,,12,AIRE-02,,1867.361,6738.0,5658.0,13.0,0.0,90.0,23.9,39.6,92.2,800.0,0.5,42.75,12.16,11307.87,527.0,37291.0,5356.0,5444.0,3716.0,3775.0,3731.0,3752.0,24.8,35.1,5.0,5.0,31.0,0.0,0.0,0.0,0.0,23.0
2025-10-27 13:15:18,Sin sesión,,,,12,AIRE-02,,1867.265,6495.0,5560.0,15.0,0.0,90.0,23.6,40.8,92.2,901.0,1.0,42.75,12.16,11322.69,538.0,37269.0,5413.0,5409.0,3618.0,3729.0,3636.0,3697.0,24.9,34.7,5.0,5.0,31.0,0.0,0.0,0.0,0.0,26.0
2025-10-27 13:20:18,Sin sesión,,,,12,AIRE-02,,1866.943,6364.0,5596.0,15.0,0.0,90.0,22.6,43.3,92.2,1115.0,1.6,42.75,12.16,11328.76,554.0,37260.0,5380.0,5401.0,3706.0,3770.0,3719.0,3749.0,24.8,34.4,6.0,6.0,31.0,0.0,0.0,0.0,0.0,21.0
2025-10-27 13:25:18,Sin sesión,,,,12,AIRE-02,,1867.282,6866.0,5486.0,15.0,0.0,38.0,23.5,40.8,92.2,1170.0,1.6,42.75,12.16,11325.39,548.0,37265.0,5433.0,5410.0,3585.0,3743.0,3645.0,3703.0,24.8,35.0,5.0,5.0,31.0,0.0,0.0,0.0,0.0,21.0
2025-10-27 13:30:18,Sin sesión,,,,12,AIRE-02,,1867.004,6342.0,5569.0,15.0,0.0,27.0,23.5,41.1,92.2,1238.0,0.6,42.75,12.16,11320.67,539.0,37272.0,5569.0,5478.0,3611.0,3788.0,3747.0,3782.0,25.1,33.8,4.0,4.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-27 13:35:18,Sin sesión,,,,12,AIRE-02,,1866.808,6694.0,5494.0,15.0,0.0,90.0,24.7,37.2,92.2,1140.0,1.0,43.0,12.16,11320.67,536.0,37272.0,5382.0,5425.0,3651.0,3764.0,3710.0,3737.0,25.3,33.5,5.0,4.0,31.0,0.0,0.0,0.0,0.0,22.0
2025-10-27 13:40:18,Sin sesión,,,,12,AIRE-02,,1865.969,6668.0,5654.0,15.0,0.0,90.0,23.9,40.1,92.2,1351.0,1.5,43.25,12.16,11322.02,544.0,37270.0,5531.0,5553.0,3712.0,3797.0,3798.0,3772.0,25.7,32.8,7.0,6.0,31.0,0.0,0.0,0.0,0.0,23.0
